DATE,High yield bond spread,,DATE,Domestic banks tightening restrictions
03/01/2000,4.68,,01/01/2000,9.4
04/01/2000,4.81,,01/04/2000,21.4
05/01/2000,4.77,,01/07/2000,23.6
06/01/2000,4.82,,01/10/2000,27.3
07/01/2000,4.86,,01/01/2001,45.5
10/01/2000,4.81,,01/04/2001,36.4
11/01/2000,4.74,,01/07/2001,31.6
12/01/2000,4.72,,01/10/2001,40.4
13/01/2000,4.82,,01/01/2002,41.8
14/01/2000,4.77,,01/04/2002,14.5
17/01/2000,4.77,,01/07/2002,5.5
18/01/2000,4.75,,01/10/2002,18.2
19/01/2000,4.77,,01/01/2003,13.8
20/01/2000,4.74,,01/04/2003,12.7
21/01/2000,4.73,,01/07/2003,3.5
24/01/2000,4.82,,01/10/2003,-1.8
25/01/2000,4.81,,01/01/2004,-10.9
26/01/2000,4.81,,01/04/2004,-19.3
27/01/2000,4.8,,01/07/2004,-3.6
28/01/2000,4.8,,01/10/2004,-18.2
31/01/2000,4.87,,01/01/2005,-13
01/02/2000,4.87,,01/04/2005,-24.1
02/02/2000,4.86,,01/07/2005,-11.1
03/02/2000,4.99,,01/10/2005,-5.3
04/02/2000,4.87,,01/01/2006,-7.1
07/02/2000,4.82,,01/04/2006,-7
08/02/2000,4.82,,01/07/2006,-1.8
09/02/2000,4.79,,01/10/2006,-1.9
10/02/2000,4.77,,01/01/2007,5.4
11/02/2000,4.81,,01/04/2007,1.9
14/02/2000,4.88,,01/07/2007,7.7
15/02/2000,4.83,,01/10/2007,9.6
16/02/2000,4.86,,01/01/2008,30.4
17/02/2000,4.82,,01/04/2008,51.8
18/02/2000,4.9,,01/07/2008,65.4
21/02/2000,4.9,,01/10/2008,74.5
22/02/2000,5.02,,01/01/2009,69.2
23/02/2000,4.94,,01/04/2009,42.3
24/02/2000,5.04,,01/07/2009,34
25/02/2000,5.07,,01/10/2009,16.1
28/02/2000,5.01,,01/01/2010,3.7
29/02/2000,5.08,,01/04/2010,0
01/03/2000,5.11,,01/07/2010,-9.1
02/03/2000,5.11,,01/10/2010,-7.1
03/03/2000,5.13,,01/01/2011,-1.9
06/03/2000,5.1,,01/04/2011,-13.5
07/03/2000,5.15,,01/07/2011,-7.8
08/03/2000,5.16,,01/10/2011,-6.3
09/03/2000,5.19,,01/01/2012,1.9
10/03/2000,5.16,,01/04/2012,-1.8
13/03/2000,5.21,,01/07/2012,-4.9
14/03/2000,5.29,,01/10/2012,-7.6
15/03/2000,5.34,,01/01/2013,-7.7
16/03/2000,5.4,,01/04/2013,-23.1
17/03/2000,5.41,,01/07/2013,-10
20/03/2000,5.42,,01/10/2013,-7.1
21/03/2000,5.46,,01/01/2014,-4.2
22/03/2000,5.51,,01/04/2014,-7
23/03/2000,5.55,,01/07/2014,-8.3
24/03/2000,5.47,,01/10/2014,-8.2
27/03/2000,5.47,,01/01/2015,-5.7
28/03/2000,5.57,,01/04/2015,-1.4
29/03/2000,5.68,,01/07/2015,-6
30/03/2000,5.84,,01/10/2015,1.5
31/03/2000,5.75,,01/01/2016,4.2
03/04/2000,5.78,,01/04/2016,5.8
04/04/2000,5.94,,01/07/2016,7.1
05/04/2000,5.94,,01/10/2016,-1.5
06/04/2000,5.87,,01/01/2017,0
07/04/2000,5.9,,01/04/2017,-2.9
10/04/2000,5.95,,01/07/2017,-4.1
11/04/2000,5.89,,01/10/2017,-8.8
12/04/2000,5.82,,01/01/2018,0
13/04/2000,5.87,,01/04/2018,-3
14/04/2000,5.92,,01/07/2018,-7.6
17/04/2000,5.84,,01/10/2018,-3.1
18/04/2000,5.81,,01/01/2019,4.3
19/04/2000,5.85,,01/04/2019,0
20/04/2000,5.85,,01/07/2019,-5.8
21/04/2000,.,,01/10/2019,5.6
24/04/2000,5.88,,01/01/2020,-1.4
25/04/2000,5.77,,01/04/2020,39.7
26/04/2000,5.77,,01/07/2020,70
27/04/2000,5.69,,01/10/2020,31.3
28/04/2000,5.71,,01/01/2021,11.4
30/04/2000,5.88,,,
01/05/2000,5.83,,,
02/05/2000,5.79,,,
03/05/2000,5.77,,,
